Records from input file (district: CACHAR) not found in Cachar data file (D:\Early Warning System\CACHAR_SONAI_student_data.csv) using either 'unique_student_identifier' or 'uuid', and not exempted by Class-XII/Promoted or Dropout status:

Original Input Excel Row Index: 36784, unique_student_identifier: '18210210704170013', uuid: '497162725308.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36785, unique_student_identifier: '18210714305170182', uuid: '629190097217.0'. Details - Input Class: '11', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36786, unique_student_identifier: '18210704009170012', uuid: '847218920334.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36795, unique_student_identifier: '18210707401170011', uuid: '116255827356.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36796, unique_student_identifier: '18210707401170012', uuid: '270542541770.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36815, unique_student_identifier: '18210700701170009', uuid: '922033593917.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36816, unique_student_identifier: '18210700801170007', uuid: '984213091418.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36822, unique_student_identifier: '18210501904170008', uuid: '890301242368.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36823, unique_student_identifier: '18210501904170009', uuid: '613181567390.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36826, unique_student_identifier: '18210717804170226', uuid: '890615058960.0'. Details - Input Class: '10', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36847, unique_student_identifier: '18210712701170022', uuid: '619946626592.0'. Details - Input Class: '8', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36848, unique_student_identifier: '18210712701170024', uuid: '282432774344.0'. Details - Input Class: '10', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36849, unique_student_identifier: '18210714203170119', uuid: '552021577537.0'. Details - Input Class: '10', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36850, unique_student_identifier: '18210701001170012', uuid: '631181310518.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36855, unique_student_identifier: '18210707602170024', uuid: '918480119592.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36856, unique_student_identifier: '18210707602170025', uuid: '912361462518.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36859, unique_student_identifier: '18210706001170041', uuid: '667930254403.0'. Details - Input Class: '8', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36867, unique_student_identifier: '18210505001170038', uuid: '823324119507.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36868, unique_student_identifier: '18210505001170039', uuid: '240593136512.0'. Details - Input Class: '8', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36873, unique_student_identifier: '18210704003170016', uuid: '166121150521.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36879, unique_student_identifier: '18210706303170031', uuid: '944397616148.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36884, unique_student_identifier: '18210713001170037', uuid: '4518442791.0'. Details - Input Class: '11', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36889, unique_student_identifier: '18210219501170069', uuid: '392390285052.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36892, unique_student_identifier: '18210718201170040', uuid: '916414215151.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36893, unique_student_identifier: '18210718201170042', uuid: '107267845521.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36894, unique_student_identifier: '18210505101170062', uuid: '508362926084.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36895, unique_student_identifier: '18210505101170063', uuid: '662269485799.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36896, unique_student_identifier: '18210505101170064', uuid: '944484980725.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36897, unique_student_identifier: '18210505101170065', uuid: '363648889925.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36898, unique_student_identifier: '18210505101170066', uuid: '984789538183.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36899, unique_student_identifier: '18210505101170071', uuid: '138991268481.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36900, unique_student_identifier: '18210505101170072', uuid: '32415614493.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36901, unique_student_identifier: '18210505101170073', uuid: '745104297758.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36902, unique_student_identifier: '18210505101170079', uuid: '520472838096.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36903, unique_student_identifier: '18210505101170081', uuid: '131289556744.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36904, unique_student_identifier: '18210505101170082', uuid: '739770096484.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36905, unique_student_identifier: '18210505101170087', uuid: '156505917344.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36906, unique_student_identifier: '18210505101170089', uuid: '638999773784.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36907, unique_student_identifier: '18210505101170093', uuid: '292906314407.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36911, unique_student_identifier: '18210505101170107', uuid: '343416107206.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36915, unique_student_identifier: '18210702901170013', uuid: '358548910690.0'. Details - Input Class: '10', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36916, unique_student_identifier: '18210702901170014', uuid: '78051406031.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36927, unique_student_identifier: '18210724901170023', uuid: '707091622713.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36928, unique_student_identifier: '18210501904170012', uuid: '445041369129.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36929, unique_student_identifier: '18210501904170014', uuid: '714717134567.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36930, unique_student_identifier: '18210501904170016', uuid: '99634278658.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36931, unique_student_identifier: '18210501904170017', uuid: '545877255076.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36933, unique_student_identifier: '18210501904170018', uuid: '282477701345.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36937, unique_student_identifier: '18210712901170028', uuid: '721466433928.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36938, unique_student_identifier: '18210712003170038', uuid: '284829946500.0'. Details - Input Class: '11', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36940, unique_student_identifier: '18210501904170019', uuid: '254176622493.0'. Details - Input Class: '8', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36941, unique_student_identifier: '18210702501170004', uuid: '893877632817.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36942, unique_student_identifier: '18210501904170020', uuid: '100622278731.0'. Details - Input Class: '8', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36944, unique_student_identifier: '18210711302170022', uuid: '989606175561.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36945, unique_student_identifier: '18210501902170105', uuid: '840103239603.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36952, unique_student_identifier: '18210704905170021', uuid: '848779915691.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36953, unique_student_identifier: '18210214103170032', uuid: '269354019564.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36954, unique_student_identifier: '18210711201170031', uuid: '705333736450.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36956, unique_student_identifier: '18210706203170049', uuid: '68722756643.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
